[2026-01-17 07:59:08,228] [INFO] ✅ 支付系统配置验证通过
[2026-01-17 07:59:08,766] [INFO] ✅ 数据库索引创建完成
[2026-01-17 07:59:08,767] [INFO] ✅ 数据库管理器初始化完成
[2026-01-17 07:59:08,767] [INFO] ✅ Bot管理器初始化完成
[2026-01-17 07:59:08,767] [INFO] ✅ Tron客户端初始化完成，API Keys数量: 1
[2026-01-17 07:59:08,767] [INFO] ✅ 代理支付系统初始化完成
[2026-01-17 07:59:08,768] [INFO] 🔄 支付处理循环已启动
[2026-01-17 07:59:08,769] [INFO] 🔄 订单清理循环已启动
[2026-01-17 07:59:08,769] [INFO] ✅ 支付系统已启动
[2026-01-17 07:59:08,770] [INFO] ✅ 支付系统测试启动成功
[2026-01-17 07:59:08,770] [INFO] 按 Ctrl+C 停止...
[2026-01-17 07:59:08,924] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 07:59:12,020] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 07:59:15,121] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 07:59:18,220] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 07:59:21,314] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 07:59:24,404] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 07:59:27,506] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 07:59:30,585] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 07:59:33,682] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 07:59:36,762] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 07:59:39,896] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 07:59:42,986] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 07:59:46,115] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 07:59:49,192] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 07:59:52,274] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 07:59:55,360] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 07:59:58,453] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:01,561] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:04,649] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:07,741] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:10,821] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:13,899] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:16,987] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:20,191] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:23,463] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:26,582] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:29,682] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:32,760] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:35,845] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:38,941] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:42,059] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:45,143] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:48,229] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:51,367] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:54,475] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:00:57,561] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:01:00,785] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:01:03,870] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:01:06,963] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:01:10,057] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:01:13,134] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:01:16,225] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:01:19,331] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:01:22,442] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:01:25,528] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:01:28,617] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:01:31,749] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:01:40,467] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:01:43,559] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:01:46,643] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:01:49,739] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:01:52,834] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:01:55,971] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:01:59,061] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:02,145] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:05,239] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:08,339] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:11,429] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:14,517] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:17,605] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:20,690] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:23,775] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:26,853] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:29,937] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:33,041] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:36,144] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:39,244] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:42,328] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:45,432] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:48,514] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:51,591] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:54,669] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:02:57,767] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:00,862] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:03,945] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:07,033] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:10,218] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:13,303] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:16,388] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:19,471] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:22,572] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:25,650] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:28,749] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:31,827] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:34,996] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:38,090] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:41,187] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:44,281] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:47,362] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:50,459] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:53,539] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:56,625] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:03:59,752] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:02,846] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:05,929] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:09,011] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:12,098] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:15,177] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:18,294] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:21,383] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:24,471] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:27,549] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:30,634] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:33,719] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:36,958] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:40,070] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:43,157] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:46,242] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:49,320] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:52,414] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:55,500] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
[2026-01-17 08:04:58,588] [INFO] ✅ 获取交易记录成功: address=TJYBEp6ESBWd7wMTc9skj4evwrA5f4ubya, count=0
